source,proposed_target,manifest_status,current_state,ownership,ownership_confidence,lifecycle,dynamic_loader,sys_path_mutation,path_depth_risk,ci_reference_at_manifest_freeze
04_Testing/design_xauusd_portable_331_trainer_input_contract.py,04_Testing/research/portable_331/train/design_xauusd_portable_331_trainer_input_contract.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.portable_331.train,MEDIUM,HISTORICAL_FROZEN,YES,YES,HIGH,NO
04_Testing/diagnose_xauusd_portable_331_float_roundtrip.py,04_Testing/research/portable_331/train/diagnose_xauusd_portable_331_float_roundtrip.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.portable_331.train,MEDIUM,HISTORICAL_FROZEN,YES,YES,HIGH,NO
04_Testing/discover_xauusd_current_feature_pipeline.py,04_Testing/discover_xauusd_current_feature_pipeline.py,REVIEW_REQUIRED,REVIEW_REQUIRED,unclassified,LOW,REVIEW_REQUIRED,NO,NO,HIGH,NO
04_Testing/evaluate_xauusd_portable_331_train_model_candidates.py,04_Testing/research/portable_331/train/evaluate_xauusd_portable_331_train_model_candidates.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.portable_331.train,MEDIUM,HISTORICAL_FROZEN,NO,NO,NONE,NO
04_Testing/exness_demo_xauusd_context_attestation_operation.py,04_Testing/exness_demo_xauusd_context_attestation_operation.py,REVIEW_REQUIRED,REVIEW_REQUIRED,Dataset,MEDIUM,REVIEW_REQUIRED,YES,NO,NONE,NO
04_Testing/exness_historical_fill_telemetry_operation.py,04_Testing/exness_historical_fill_telemetry_operation.py,REVIEW_REQUIRED,REVIEW_REQUIRED,Shadow,MEDIUM,REVIEW_REQUIRED,YES,YES,NONE,NO
04_Testing/fit_xauusd_portable_331_c04_full_train_model.py,04_Testing/research/portable_331/train/fit_xauusd_portable_331_c04_full_train_model.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.portable_331.train,MEDIUM,HISTORICAL_FROZEN,YES,NO,HIGH,NO
04_Testing/freeze_xauusd_portable_331_one_time_validation_result.py,04_Testing/freeze_xauusd_portable_331_one_time_validation_result.py,FROZEN_STAY,FROZEN_STAY,frozen_compatibility,FROZEN,FROZEN_HOLDOUT,NO,NO,HIGH,NO
04_Testing/freeze_xauusd_portable_331_train_internal_winner.py,04_Testing/research/portable_331/train/freeze_xauusd_portable_331_train_internal_winner.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.portable_331.train,MEDIUM,HISTORICAL_FROZEN,YES,NO,HIGH,NO
04_Testing/inspect_xauusd_portable_331_candidate_evaluator_integration_contract.py,04_Testing/research/portable_331/train/inspect_xauusd_portable_331_candidate_evaluator_integration_contract.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.portable_331.train,MEDIUM,HISTORICAL_FROZEN,NO,NO,HIGH,NO
04_Testing/multi_day_scalping_validation.py,04_Testing/research/shadow_or_legacy/multi_day_scalping_validation.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.shadow_or_legacy,MEDIUM,HISTORICAL_OR_SHADOW,YES,YES,HIGH,NO
04_Testing/regime_conditioned_quality_validation.py,04_Testing/research/shadow_or_legacy/regime_conditioned_quality_validation.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.shadow_or_legacy,MEDIUM,HISTORICAL_OR_SHADOW,YES,YES,HIGH,NO
04_Testing/regime_hypothesis_validation.py,04_Testing/research/shadow_or_legacy/regime_hypothesis_validation.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.shadow_or_legacy,MEDIUM,HISTORICAL_OR_SHADOW,YES,YES,HIGH,NO
04_Testing/research_opportunity_quality_operation.py,04_Testing/research/shadow_or_legacy/research_opportunity_quality_operation.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.shadow_or_legacy,MEDIUM,HISTORICAL_OR_SHADOW,YES,YES,HIGH,NO
04_Testing/research_zone_context_outcome_operation.py,04_Testing/research/shadow_or_legacy/research_zone_context_outcome_operation.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.shadow_or_legacy,MEDIUM,HISTORICAL_OR_SHADOW,YES,YES,HIGH,NO
04_Testing/run_exness_demo_xauusd_context_attestation.py,04_Testing/run_exness_demo_xauusd_context_attestation.py,REVIEW_REQUIRED,REVIEW_REQUIRED,unclassified,LOW,REVIEW_REQUIRED,YES,YES,NONE,NO
04_Testing/run_xauusd_portable_331_candidate_evaluator_integration.py,04_Testing/research/portable_331/train/run_xauusd_portable_331_candidate_evaluator_integration.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.portable_331.train,MEDIUM,HISTORICAL_FROZEN,YES,YES,HIGH,NO
04_Testing/run_xauusd_portable_331_one_time_test.py,04_Testing/run_xauusd_portable_331_one_time_test.py,FROZEN_STAY,FROZEN_STAY,frozen_compatibility,FROZEN,FROZEN_HOLDOUT,YES,NO,HIGH,NO
04_Testing/run_xauusd_portable_331_one_time_validation.py,04_Testing/run_xauusd_portable_331_one_time_validation.py,FROZEN_STAY,FROZEN_STAY,frozen_compatibility,FROZEN,FROZEN_HOLDOUT,YES,NO,HIGH,NO
04_Testing/run_xauusd_portable_331_train_candidate_walk_forward_evaluation.py,04_Testing/research/portable_331/train/run_xauusd_portable_331_train_candidate_walk_forward_evaluation.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.portable_331.train,MEDIUM,HISTORICAL_FROZEN,YES,NO,HIGH,NO
04_Testing/run_xauusd_portable_331_train_supervised_batch_integration.py,04_Testing/research/portable_331/train/run_xauusd_portable_331_train_supervised_batch_integration.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.portable_331.train,MEDIUM,HISTORICAL_FROZEN,YES,YES,HIGH,NO
04_Testing/run_xauusd_portable_331_train_target_loader_integration.py,04_Testing/research/portable_331/train/run_xauusd_portable_331_train_target_loader_integration.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.portable_331.train,MEDIUM,HISTORICAL_FROZEN,YES,YES,HIGH,NO
04_Testing/run_xauusd_portable_331_training_input_loader_integration.py,04_Testing/research/portable_331/train/run_xauusd_portable_331_training_input_loader_integration.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.portable_331.train,MEDIUM,HISTORICAL_FROZEN,YES,YES,HIGH,NO
04_Testing/scalping_setup_outcome_diagnostic.py,04_Testing/research/shadow_or_legacy/scalping_setup_outcome_diagnostic.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.shadow_or_legacy,MEDIUM,HISTORICAL_OR_SHADOW,YES,YES,NONE,NO
04_Testing/shadow_bootstrap_compounding_operation.py,04_Testing/research/shadow_or_legacy/shadow_bootstrap_compounding_operation.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.shadow_or_legacy,MEDIUM,HISTORICAL_OR_SHADOW,YES,YES,HIGH,NO
04_Testing/shadow_compounding_trade_lifecycle_operation.py,04_Testing/research/shadow_or_legacy/shadow_compounding_trade_lifecycle_operation.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.shadow_or_legacy,MEDIUM,HISTORICAL_OR_SHADOW,YES,YES,HIGH,NO
04_Testing/shadow_paper_operation.py,04_Testing/research/shadow_or_legacy/shadow_paper_operation.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.shadow_or_legacy,MEDIUM,HISTORICAL_OR_SHADOW,YES,YES,HIGH,NO
04_Testing/shadow_research_operation.py,04_Testing/research/shadow_or_legacy/shadow_research_operation.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.shadow_or_legacy,MEDIUM,HISTORICAL_OR_SHADOW,YES,YES,HIGH,NO
04_Testing/shadow_weight_forward_operation.py,04_Testing/research/shadow_or_legacy/shadow_weight_forward_operation.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.shadow_or_legacy,MEDIUM,HISTORICAL_OR_SHADOW,YES,YES,HIGH,NO
04_Testing/shadow_zone_context_forward_operation.py,04_Testing/research/shadow_or_legacy/shadow_zone_context_forward_operation.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.shadow_or_legacy,MEDIUM,HISTORICAL_OR_SHADOW,YES,YES,HIGH,NO
04_Testing/swing_price_lattice_analysis.py,04_Testing/research/legacy_ml/swing_price_lattice_analysis.py,REVIEW_REQUIRED,REVIEW_REQUIRED,research.legacy_ml,MEDIUM,HISTORICAL,YES,YES,HIGH,NO
04_Testing/test_account_protected_compounding_admission.py,04_Testing/ai/shadow/test_account_protected_compounding_admission.py,READY,EXECUTED,Shadow,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,NO
04_Testing/test_account_protected_execution_lifecycle.py,04_Testing/ai/shadow/test_account_protected_execution_lifecycle.py,READY,EXECUTED,Shadow,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,NO
04_Testing/test_account_protection_guard.py,04_Testing/ai/shadow/test_account_protection_guard.py,READY,EXECUTED,Shadow,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,NO
04_Testing/test_backup.py,04_Testing/ai/database/test_backup.py,READY,EXECUTED,Database,HIGH,ACTIVE_REGRESSION,YES,YES,HIGH,NO
04_Testing/test_bootstrap_compounding_planner.py,04_Testing/ai/shadow/test_bootstrap_compounding_planner.py,READY,EXECUTED,Shadow,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,NO
04_Testing/test_bos.py,04_Testing/ai/core/test_bos.py,READY,EXECUTED,Core,HIGH,ACTIVE_REGRESSION,YES,YES,NONE,NO
04_Testing/test_bos_memory.py,04_Testing/ai/memory/test_bos_memory.py,READY,EXECUTED,Memory,HIGH,ACTIVE_REGRESSION,YES,YES,HIGH,NO
04_Testing/test_candle_features.py,04_Testing/integration/test_candle_features.py,REVIEW_REQUIRED,REVIEW_REQUIRED,multi_domain,MEDIUM,ACTIVE_REGRESSION,YES,YES,HIGH,NO
04_Testing/test_candle_swing_intelligence.py,04_Testing/ai/core/test_candle_swing_intelligence.py,READY,EXECUTED,Core,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,YES
04_Testing/test_canonical_history_pipeline.py,04_Testing/ai/dataset/test_canonical_history_pipeline.py,READY,EXECUTED,Dataset,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,NO
04_Testing/test_compounding_account_state_adapter.py,04_Testing/ai/shadow/test_compounding_account_state_adapter.py,READY,EXECUTED,Shadow,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,NO
04_Testing/test_compounding_lifecycle_accounting.py,04_Testing/ai/shadow/test_compounding_lifecycle_accounting.py,READY,EXECUTED,Shadow,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,NO
04_Testing/test_compounding_pnl_ledger.py,04_Testing/ai/shadow/test_compounding_pnl_ledger.py,READY,EXECUTED,Shadow,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,NO
04_Testing/test_compounding_risk_watermark.py,04_Testing/ai/shadow/test_compounding_risk_watermark.py,READY,EXECUTED,Shadow,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,NO
04_Testing/test_compounding_trade_state_machine.py,04_Testing/ai/shadow/test_compounding_trade_state_machine.py,READY,EXECUTED,Shadow,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,NO
04_Testing/test_confidence.py,04_Testing/ai/core/test_confidence.py,READY,EXECUTED,Core,HIGH,HISTORICAL_OR_SHADOW,YES,NO,NONE,NO
04_Testing/test_confidence_integration.py,04_Testing/ai/core/test_confidence_integration.py,READY,EXECUTED,Core,HIGH,HISTORICAL_OR_SHADOW,YES,NO,NONE,NO
04_Testing/test_confidence_pipeline.py,04_Testing/ai/core/test_confidence_pipeline.py,READY,EXECUTED,Core,HIGH,HISTORICAL_OR_SHADOW,YES,NO,NONE,NO
04_Testing/test_confidence_temporal.py,04_Testing/ai/core/test_confidence_temporal.py,READY,EXECUTED,Core,HIGH,HISTORICAL_OR_SHADOW,YES,NO,NONE,NO
04_Testing/test_config.py,04_Testing/ai/config/test_config.py,READY,EXECUTED,Config,HIGH,ACTIVE_REGRESSION,YES,YES,HIGH,NO
04_Testing/test_database.py,04_Testing/ai/database/test_database.py,READY,EXECUTED,Database,HIGH,ACTIVE_REGRESSION,NO,YES,HIGH,NO
04_Testing/test_design_xauusd_portable_331_one_time_test_protocol.py,04_Testing/test_design_xauusd_portable_331_one_time_test_protocol.py,FROZEN_STAY,FROZEN_STAY,frozen_compatibility,FROZEN,FROZEN_HOLDOUT,YES,NO,NONE,NO
04_Testing/test_design_xauusd_portable_331_one_time_validation_protocol.py,04_Testing/test_design_xauusd_portable_331_one_time_validation_protocol.py,FROZEN_STAY,FROZEN_STAY,frozen_compatibility,FROZEN,FROZEN_HOLDOUT,YES,NO,NONE,NO
04_Testing/test_displacement.py,04_Testing/integration/test_displacement.py,REVIEW_REQUIRED,REVIEW_REQUIRED,multi_domain,MEDIUM,ACTIVE_REGRESSION,YES,YES,HIGH,NO
04_Testing/test_enums.py,04_Testing/ai/common/test_enums.py,READY,EXECUTED,Common,HIGH,ACTIVE_REGRESSION,YES,YES,HIGH,NO
04_Testing/test_evaluate_xauusd_portable_331_train_model_candidates.py,04_Testing/test_evaluate_xauusd_portable_331_train_model_candidates.py,REVIEW_REQUIRED,REVIEW_REQUIRED,unresolved,LOW,HISTORICAL_FROZEN,YES,NO,HIGH,NO
04_Testing/test_execution_aware_compounding_admission.py,04_Testing/ai/shadow/test_execution_aware_compounding_admission.py,READY,EXECUTED,Shadow,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,NO
04_Testing/test_execution_aware_lifecycle_gate.py,04_Testing/ai/shadow/test_execution_aware_lifecycle_gate.py,READY,EXECUTED,Shadow,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,NO
04_Testing/test_execution_friction_model.py,04_Testing/ai/shadow/test_execution_friction_model.py,READY,EXECUTED,Shadow,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,NO
04_Testing/test_exness_demo_xauusd_attestation_launcher.py,04_Testing/test_exness_demo_xauusd_attestation_launcher.py,REVIEW_REQUIRED,REVIEW_REQUIRED,unresolved,LOW,ACTIVE_REGRESSION,NO,YES,NONE,NO
04_Testing/test_exness_demo_xauusd_context_attestation_operation.py,04_Testing/ai/common/test_exness_demo_xauusd_context_attestation_operation.py,REVIEW_REQUIRED,REVIEW_REQUIRED,Common,MEDIUM,ACTIVE_REGRESSION,YES,NO,NONE,NO
04_Testing/test_exness_demo_xauusd_resolver_readiness.py,04_Testing/ai/common/test_exness_demo_xauusd_resolver_readiness.py,REVIEW_REQUIRED,REVIEW_REQUIRED,Common,MEDIUM,ACTIVE_REGRESSION,YES,NO,NONE,NO
04_Testing/test_exness_historical_fill_telemetry_direct_script.py,04_Testing/test_exness_historical_fill_telemetry_direct_script.py,REVIEW_REQUIRED,REVIEW_REQUIRED,unresolved,LOW,ACTIVE_REGRESSION,NO,NO,NONE,NO
04_Testing/test_exness_historical_fill_telemetry_operation.py,04_Testing/test_exness_historical_fill_telemetry_operation.py,REVIEW_REQUIRED,REVIEW_REQUIRED,unresolved,LOW,ACTIVE_REGRESSION,YES,NO,NONE,NO
04_Testing/test_exporter.py,04_Testing/ai/dataset/test_exporter.py,READY,EXECUTED,Dataset,HIGH,ACTIVE_REGRESSION,YES,YES,HIGH,NO
04_Testing/test_feature_generator.py,04_Testing/integration/test_feature_generator.py,REVIEW_REQUIRED,REVIEW_REQUIRED,multi_domain,MEDIUM,ACTIVE_REGRESSION,YES,YES,HIGH,NO
04_Testing/test_feature_list.py,04_Testing/ai/features/test_feature_list.py,READY,EXECUTED,Features,HIGH,ACTIVE_REGRESSION,YES,YES,HIGH,NO
04_Testing/test_fetcher.py,04_Testing/ai/dataset/test_fetcher.py,READY,EXECUTED,Dataset,HIGH,ACTIVE_REGRESSION,YES,YES,HIGH,NO
04_Testing/test_fit_xauusd_portable_331_c04_full_train_model.py,04_Testing/test_fit_xauusd_portable_331_c04_full_train_model.py,REVIEW_REQUIRED,REVIEW_REQUIRED,unresolved,LOW,HISTORICAL_FROZEN,YES,NO,NONE,NO
04_Testing/test_forward_demo_execution_evidence_journal.py,04_Testing/ai/shadow/test_forward_demo_execution_evidence_journal.py,READY,EXECUTED,Shadow,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,NO
04_Testing/test_forward_demo_journal_realized_fill_bridge_integration.py,04_Testing/ai/shadow/test_forward_demo_journal_realized_fill_bridge_integration.py,READY,EXECUTED,Shadow,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,NO
04_Testing/test_forward_execution_evidence_capture.py,04_Testing/ai/shadow/test_forward_execution_evidence_capture.py,READY,EXECUTED,Shadow,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,NO
04_Testing/test_freeze_xauusd_portable_331_one_time_validation_result.py,04_Testing/test_freeze_xauusd_portable_331_one_time_validation_result.py,FROZEN_STAY,FROZEN_STAY,frozen_compatibility,FROZEN,FROZEN_HOLDOUT,YES,NO,NONE,NO
04_Testing/test_freeze_xauusd_portable_331_train_internal_winner.py,04_Testing/test_freeze_xauusd_portable_331_train_internal_winner.py,REVIEW_REQUIRED,REVIEW_REQUIRED,unresolved,LOW,HISTORICAL_FROZEN,YES,NO,NONE,NO
04_Testing/test_fvg.py,04_Testing/ai/core/test_fvg.py,READY,EXECUTED,Core,HIGH,ACTIVE_REGRESSION,YES,YES,HIGH,NO
04_Testing/test_fvg_mitigation.py,04_Testing/ai/core/test_fvg_mitigation.py,READY,EXECUTED,Core,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,NO
04_Testing/test_fvg_quality.py,04_Testing/ai/core/test_fvg_quality.py,READY,EXECUTED,Core,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,NO
04_Testing/test_history_cleaner.py,04_Testing/ai/dataset/test_history_cleaner.py,READY,EXECUTED,Dataset,HIGH,ACTIVE_REGRESSION,YES,YES,HIGH,NO
04_Testing/test_history_downloader.py,04_Testing/ai/dataset/test_history_downloader.py,READY,EXECUTED,Dataset,HIGH,ACTIVE_REGRESSION,YES,YES,HIGH,NO
04_Testing/test_history_manager.py,04_Testing/ai/dataset/test_history_manager.py,READY,EXECUTED,Dataset,HIGH,ACTIVE_REGRESSION,YES,YES,HIGH,NO
04_Testing/test_history_validator.py,04_Testing/ai/dataset/test_history_validator.py,READY,EXECUTED,Dataset,HIGH,ACTIVE_REGRESSION,YES,YES,HIGH,NO
04_Testing/test_institutional_zone_context.py,04_Testing/ai/shadow/test_institutional_zone_context.py,READY,EXECUTED,Shadow,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,YES
04_Testing/test_institutional_zone_lifecycle.py,04_Testing/ai/shadow/test_institutional_zone_lifecycle.py,READY,EXECUTED,Shadow,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,YES
04_Testing/test_institutional_zones.py,04_Testing/ai/core/test_institutional_zones.py,READY,EXECUTED,Core,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,NO
04_Testing/test_institutional_zones_causal.py,04_Testing/ai/core/test_institutional_zones_causal.py,READY,EXECUTED,Core,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,YES
04_Testing/test_instrument_context.py,04_Testing/ai/common/test_instrument_context.py,READY,EXECUTED,Common,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,NO
04_Testing/test_instrument_frame_guard.py,04_Testing/integration/test_instrument_frame_guard.py,REVIEW_REQUIRED,REVIEW_EXECUTED,multi_domain,MEDIUM,ACTIVE_REGRESSION,YES,NO,NONE,NO
04_Testing/test_level_entry_intelligence.py,04_Testing/ai/core/test_level_entry_intelligence.py,READY,EXECUTED,Core,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,YES
04_Testing/test_liquidity.py,04_Testing/integration/test_liquidity.py,REVIEW_REQUIRED,REVIEW_REQUIRED,multi_domain,MEDIUM,ACTIVE_REGRESSION,YES,YES,HIGH,NO
04_Testing/test_liquidity_lifecycle.py,04_Testing/ai/core/test_liquidity_lifecycle.py,READY,EXECUTED,Core,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,YES
04_Testing/test_liquidity_memory.py,04_Testing/integration/test_liquidity_memory.py,REVIEW_REQUIRED,REVIEW_REQUIRED,multi_domain,MEDIUM,ACTIVE_REGRESSION,YES,YES,HIGH,NO
04_Testing/test_liquidity_object.py,04_Testing/integration/test_liquidity_object.py,REVIEW_REQUIRED,REVIEW_REQUIRED,multi_domain,MEDIUM,ACTIVE_REGRESSION,YES,YES,HIGH,NO
04_Testing/test_liquidity_structure_intelligence.py,04_Testing/ai/core/test_liquidity_structure_intelligence.py,READY,EXECUTED,Core,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,YES
04_Testing/test_liquidity_sweep.py,04_Testing/integration/test_liquidity_sweep.py,REVIEW_REQUIRED,REVIEW_REQUIRED,multi_domain,MEDIUM,ACTIVE_REGRESSION,YES,YES,NONE,NO
04_Testing/test_liquidity_sweep_validator.py,04_Testing/ai/core/test_liquidity_sweep_validator.py,READY,EXECUTED,Core,HIGH,ACTIVE_REGRESSION,YES,YES,HIGH,NO
04_Testing/test_market_context_liquidity.py,04_Testing/ai/core/test_market_context_liquidity.py,READY,EXECUTED,Core,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,YES
04_Testing/test_market_decision_clarity.py,04_Testing/ai/core/test_market_decision_clarity.py,READY,EXECUTED,Core,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,YES
04_Testing/test_market_regime.py,04_Testing/ai/core/test_market_regime.py,READY,EXECUTED,Core,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,YES
04_Testing/test_market_structure.py,04_Testing/ai/core/test_market_structure.py,READY,EXECUTED,Core,HIGH,ACTIVE_REGRESSION,YES,YES,NONE,NO
04_Testing/test_momentum_features.py,04_Testing/integration/test_momentum_features.py,REVIEW_REQUIRED,REVIEW_REQUIRED,multi_domain,MEDIUM,ACTIVE_REGRESSION,YES,YES,HIGH,NO
04_Testing/test_mt5_read_only_completed_fill_adapter.py,04_Testing/ai/shadow/test_mt5_read_only_completed_fill_adapter.py,READY,EXECUTED,Shadow,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,NO
04_Testing/test_mt5_read_only_fill_telemetry_adapter.py,04_Testing/ai/shadow/test_mt5_read_only_fill_telemetry_adapter.py,READY,EXECUTED,Shadow,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,NO
04_Testing/test_mt5_read_only_instrument_attestation_adapter.py,04_Testing/ai/dataset/test_mt5_read_only_instrument_attestation_adapter.py,READY,EXECUTED,Dataset,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,NO
04_Testing/test_paper_ledger.py,04_Testing/ai/shadow/test_paper_ledger.py,READY,EXECUTED,Shadow,HIGH,ACTIVE_REGRESSION,YES,NO,NONE,YES
